label	factor	bits	value	predecessor	gap	normalized_gap	value_gmp_probable_prime	predecessor_gmp_probable_prime
RSA-100	1	165	37975227936943673922808872755445627854565536638199	37975227936943673922808872755445627854565536638181	18	0.078836017032026029	1	1
RSA-100	2	165	40094690950920881030683735292761468389214899724061	40094690950920881030683735292761468389214899723971	90	0.39399265083542817	1	1
RSA-110	1	182	5846418214406154678836553182979162384198610505601062333	5846418214406154678836553182979162384198610505601061781	552	2.1886449508225936	1	1
RSA-110	2	182	6122421090493547576937037317561418841225758554253106999	6122421090493547576937037317561418841225758554253106519	480	1.9024736118721739	1	1
RSA-120	1	198	327414555693498015751146303749141488063642403240171463406883	327414555693498015751146303749141488063642403240171463406619	264	0.96323241588026998	1	1
RSA-120	2	199	693342667110830181197325401899700641361965863127336680673013	693342667110830181197325401899700641361965863127336680672947	66	0.23949683952783529	1	1
RSA-130	1	215	39685999459597454290161126162883786067576449112810064832555157243	39685999459597454290161126162883786067576449112810064832555156841	402	1.3513162890302282	1	1
RSA-130	2	215	45534498646735972188403686897274408864356301263205069600999044599	45534498646735972188403686897274408864356301263205069600999044539	60	0.20150276583687754	1	1
RSA-140	1	231	3398717423028438554530123627613875835633986495969597423490929302771479	3398717423028438554530123627613875835633986495969597423490929302771449	30	0.093690407309670543	1	1
RSA-140	2	232	6264200187401285096151654948264442219302037178623509019111660653946049	6264200187401285096151654948264442219302037178623509019111660653945701	348	1.0826738302794503	1	1
RSA-150	1	248	348009867102283695483970451047593424831012817350385456889559637548278410717	348009867102283695483970451047593424831012817350385456889559637548278410621	96	0.27965776817677679	1	1
RSA-150	2	248	445647744903640741533241125787086176005442536297766153493419724532460296199	445647744903640741533241125787086176005442536297766153493419724532460295767	432	1.2566493657608324	1	1
RSA-160	1	265	45427892858481394071686190649738831656137145778469793250959984709250004157335359	45427892858481394071686190649738831656137145778469793250959984709250004157334357	1002	2.7314693533662648	1	1
RSA-160	2	265	47388090603832016196633832303788951973268922921040957944741354648812028493909367	47388090603832016196633832303788951973268922921040957944741354648812028493908347	1020	2.7798974011313575	1	1
RSA-170	1	281	3586420730428501486799804587268520423291459681059978161140231860633948450858040593963	3586420730428501486799804587268520423291459681059978161140231860633948450858040593627	336	0.86289119834485573	1	1
RSA-170	2	282	7267029064107019078863797763923946264136137803856996670313708936002281582249587494493	7267029064107019078863797763923946264136137803856996670313708936002281582249587494229	264	0.67553564669862842	1	1
RSA-180	1	298	400780082329750877952581339104100572526829317815807176564882178998497572771950624613470377	400780082329750877952581339104100572526829317815807176564882178998497572771950624613469519	858	2.0793112721798268	1	1
RSA-180	2	298	476939688738611836995535477357070857939902076027788232031989775824606225595773435668861833	476939688738611836995535477357070857939902076027788232031989775824606225595773435668861251	582	1.4092535638132091	1	1
RSA-190	1	314	31711952576901527094851712897404759298051473160294503277847619278327936427981256542415724309619	31711952576901527094851712897404759298051473160294503277847619278327936427981256542415724309139	480	1.1029558387318175	1	1
RSA-190	2	315	60152600204445616415876416855266761832435433594718110725997638280836157040460481625355619404899	60152600204445616415876416855266761832435433594718110725997638280836157040460481625355619403519	1380	3.1616960314120015	1	1
RSA-200	1	331	3532461934402770121272604978198464368671197400197625023649303468776121253679423200058547956528088349	3532461934402770121272604978198464368671197400197625023649303468776121253679423200058547956528088073	276	0.60204717171257482	1	1
