seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	0	uniform_accepted	RSA-100	1	165	36381875493942596597561342158805734668406507876157	36381875493942596597561342158805734668406507876073	84
20260909	0	uniform_accepted	RSA-100	2	165	43202924867547506340154750195783716341255700033707	43202924867547506340154750195783716341255700033581	126
20260909	0	uniform_accepted	RSA-110	1	182	5204532917004110317750453261397788051491204464491895981	5204532917004110317750453261397788051491204464491895861	120
20260909	0	uniform_accepted	RSA-110	2	182	5120549912525637561634739361169773121069316592691350887	5120549912525637561634739361169773121069316592691350449	438
20260909	0	uniform_accepted	RSA-120	1	198	377325258183012744575984018396488978500560595724450617359393	377325258183012744575984018396488978500560595724450617359351	42
20260909	0	uniform_accepted	RSA-120	2	199	756260153563990450266791669964679841201279479029471316395851	756260153563990450266791669964679841201279479029471316395491	360
20260909	0	uniform_accepted	RSA-130	1	215	48957811718317085302714608011362851603186356912236042085060524097	48957811718317085302714608011362851603186356912236042085060524007	90
20260909	0	uniform_accepted	RSA-130	2	215	50497884757541601926890585056354834140433572737778032277253262157	50497884757541601926890585056354834140433572737778032277253261899	258
20260909	0	uniform_accepted	RSA-140	1	231	2792363740219877157318981092635508073071517118620270028467384075117491	2792363740219877157318981092635508073071517118620270028467384075117281	210
20260909	0	uniform_accepted	RSA-140	2	232	5832698749419391107356262535886434282183723677014076470843979719992661	5832698749419391107356262535886434282183723677014076470843979719992349	312
20260909	0	uniform_accepted	RSA-150	1	248	438456537105593136636232288417777890818814219562543923961648254291320046803	438456537105593136636232288417777890818814219562543923961648254291320046119	684
20260909	0	uniform_accepted	RSA-150	2	248	359678448901642795276631424448755218851426194062902100828478520822012177907	359678448901642795276631424448755218851426194062902100828478520822012177301	606
20260909	0	uniform_accepted	RSA-160	1	265	45018723330918374077546621336601390093445318603387089152266278128219294939474841	45018723330918374077546621336601390093445318603387089152266278128219294939474823	18
20260909	0	uniform_accepted	RSA-160	2	265	48361639601646890610085403581101865485245143507771270634413268687356203649681271	48361639601646890610085403581101865485245143507771270634413268687356203649681157	114
20260909	0	uniform_accepted	RSA-170	1	281	3091189469355167211778183034007353755856728437054206300067361788500848351685710893071	3091189469355167211778183034007353755856728437054206300067361788500848351685710892861	210
20260909	0	uniform_accepted	RSA-170	2	282	7040199486132144040828803252711014868756884317144672717517539911153876648172958881121	7040199486132144040828803252711014868756884317144672717517539911153876648172958881103	18
20260909	0	uniform_accepted	RSA-180	1	298	395562996689018761092379420020906002615086197996964192843175839165072392511688735017998371	395562996689018761092379420020906002615086197996964192843175839165072392511688735017997909	462
20260909	0	uniform_accepted	RSA-180	2	298	404122333603433309078567768833812398223967902921660190076537443775250513776043447629580371	404122333603433309078567768833812398223967902921660190076537443775250513776043447629580197	174
20260909	0	uniform_accepted	RSA-190	1	314	25111069216778402170852829149483919763390226950417492128888807095835845320492310232589985649231	25111069216778402170852829149483919763390226950417492128888807095835845320492310232589985648469	762
20260909	0	uniform_accepted	RSA-190	2	315	61656208073735469974116008208641569791327679222772846765936445526282957990395577358714786896111	61656208073735469974116008208641569791327679222772846765936445526282957990395577358714786895199	912
20260909	0	uniform_accepted	RSA-200	1	331	3811881142822114157152771664865351223754380867668662025759122119886636262775522053651043783331757107	3811881142822114157152771664865351223754380867668662025759122119886636262775522053651043783331756099	1008
20260909	0	uniform_accepted	RSA-200	2	332	8129450049654640761833397356249291838373861459921389523815413691798299752703857772765245566644184089	8129450049654640761833397356249291838373861459921389523815413691798299752703857772765245566644182511	1578
20260909	0	uniform_accepted	RSA-210	1	348	505273134287375649436031097473595822487905259493648311204578011762547324139217887752680472545398439546273	505273134287375649436031097473595822487905259493648311204578011762547324139217887752680472545398439546069	204
20260909	0	uniform_accepted	RSA-210	2	348	570675704364196366225824084204327505907197511501548785684975298948143107223123348073152816230660226698957	570675704364196366225824084204327505907197511501548785684975298948143107223123348073152816230660226697511	1446
20260909	0	uniform_accepted	RSA-220	1	364	30525690275218028146228827493003007169718166387451342779986611491700834167633712912060846104038033881356510759	30525690275218028146228827493003007169718166387451342779986611491700834167633712912060846104038033881356510363	396
20260909	0	uniform_accepted	RSA-220	2	365	74693470364198514552601460853835285337968894499179355766508381045087390396290129530875403673249297872302454333	74693470364198514552601460853835285337968894499179355766508381045087390396290129530875403673249297872302454189	144
20260909	0	uniform_accepted	RSA-230	1	381	3758396077512504980223204105311965501970967567495608157129622639131217058728759438564024318769120215103274226242851	3758396077512504980223204105311965501970967567495608157129622639131217058728759438564024318769120215103274226242239	612
