input_hex	python_expected	cpp_next	rust_next
00000000000000000000000000000000	01010101010101010101010101010101	01010101010101010101010101010101	01010101010101010101010101010101
ffffffffffffffffffffffffffffffff	ffffffffffffffffffffffffffffff00	ffffffffffffffffffffffffffffff00	ffffffffffffffffffffffffffffff00
000102030405060708090a0b0c0d0e0f	000102030405060708090a0b0c0d0e10	000102030405060708090a0b0c0d0e10	000102030405060708090a0b0c0d0e10
fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0	fffefdfcfbfaf9f8f7f6f5f4f3f2f1f1	fffefdfcfbfaf9f8f7f6f5f4f3f2f1f1	fffefdfcfbfaf9f8f7f6f5f4f3f2f1f1
c88d52f9fb15c4ce69e214c8456a1d00	c88d52f9fb15c4ce69e214c8456a1e01	c88d52f9fb15c4ce69e214c8456a1e01	c88d52f9fb15c4ce69e214c8456a1e01
bbf714f5e391396d4dafec19a3cd0000	bbf714f5e391396d4dafec19a3ce0101	bbf714f5e391396d4dafec19a3ce0101	bbf714f5e391396d4dafec19a3ce0101
d7a93fc871874799ea0d77ade4000000	d7a93fc871874799ea0d77ade5010101	d7a93fc871874799ea0d77ade5010101	d7a93fc871874799ea0d77ade5010101
5c760caf6f7f6e74f226d91e00000000	5c760caf6f7f6e74f226d91f01010101	5c760caf6f7f6e74f226d91f01010101	5c760caf6f7f6e74f226d91f01010101
0d5db2534ebfa0fd7b627c0000000000	0d5db2534ebfa0fd7b627d0101010101	0d5db2534ebfa0fd7b627d0101010101	0d5db2534ebfa0fd7b627d0101010101
ca94e8ef69d0c1601cf9000000000000	ca94e8ef69d0c1601cfa010101010101	ca94e8ef69d0c1601cfa010101010101	ca94e8ef69d0c1601cfa010101010101
b18b65ecf2fb80baf900000000000000	b18b65ecf2fb80bafa01010101010101	b18b65ecf2fb80bafa01010101010101	b18b65ecf2fb80bafa01010101010101
8c733b9976ed83300000000000000000	8c733b9976ed83310101010101010101	8c733b9976ed83310101010101010101	8c733b9976ed83310101010101010101
05fb07bd351d1c000000000000000000	05fb07bd351d1d010101010101010101	05fb07bd351d1d010101010101010101	05fb07bd351d1d010101010101010101
0ca1f8c3e24f00000000000000000000	0ca1f8c3e25001010101010101010101	0ca1f8c3e25001010101010101010101	0ca1f8c3e25001010101010101010101
fa2165aba00000000000000000000000	fa2165aba10101010101010101010101	fa2165aba10101010101010101010101	fa2165aba10101010101010101010101
525fceec000000000000000000000000	525fceed010101010101010101010101	525fceed010101010101010101010101	525fceed010101010101010101010101
1b4bee00000000000000000000000000	1b4bef01010101010101010101010101	1b4bef01010101010101010101010101	1b4bef01010101010101010101010101
a8a90000000000000000000000000000	a8aa0101010101010101010101010101	a8aa0101010101010101010101010101	a8aa0101010101010101010101010101
de000000000000000000000000000000	df010101010101010101010101010101	df010101010101010101010101010101	df010101010101010101010101010101
0000000000000000000000000000ff00	00000000000000000000000000000001	00000000000000000000000000000001	00000000000000000000000000000001
000000000000000000000000000000ff	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000
