label	input_hex	cpp_md1	rust_md1	known_answer
kat-empty		7ae2a21d8793650044ae40277eafaa2e	7ae2a21d8793650044ae40277eafaa2e	7ae2a21d8793650044ae40277eafaa2e
kat-abc	616263	74594a0a73b03503efe62e574dbaf816	74594a0a73b03503efe62e574dbaf816	74594a0a73b03503efe62e574dbaf816
kat-a	61	420965f2da150b44cbfadd695ab5bbe9	420965f2da150b44cbfadd695ab5bbe9	420965f2da150b44cbfadd695ab5bbe9
kat-digits	31323334353637383930	34dbffc3e4a9c0ad2d5559c99649c69e	34dbffc3e4a9c0ad2d5559c99649c69e	34dbffc3e4a9c0ad2d5559c99649c69e
binary16-0	78fb1ada4901bd854765c334c57bdb7d	d20bf5c569f266e17a4a7304368752fe	d20bf5c569f266e17a4a7304368752fe	
binary16-1	900c9c80e4186c403be5c8986eeaa1fd	7f51da34f6a946991e1f4e8e65321b52	7f51da34f6a946991e1f4e8e65321b52	
binary16-2	93c96a644eb39c54e0e3c3bff006043e	453ff5f26747110a51742300e6f50203	453ff5f26747110a51742300e6f50203	
binary16-3	6215c20686843dddd4bee531fbf8789a	b250158a7c7be1956c0ba174cb4a9377	b250158a7c7be1956c0ba174cb4a9377	
binary16-4	3389a57a0fce3becff5c952275eb24c9	c3c423f43d1d99e6e65d6dd736218aec	c3c423f43d1d99e6e65d6dd736218aec	
binary16-5	8ea04dfbb80fa8ed29ec22da87e8d0f9	81ad27330cf8dcdbffe2e2f081830d30	81ad27330cf8dcdbffe2e2f081830d30	
binary16-6	8bddbd542c842599ba3b83b82cc4e514	f48c8f6e1b2150a244c59e8882ef889d	f48c8f6e1b2150a244c59e8882ef889d	
binary16-7	f0c4bab29cfe0d14804b1af23c19453d	92ddbf388a32f85dfbdd1465742e6918	92ddbf388a32f85dfbdd1465742e6918	
binary16-8	cd89e5d3e3a6f4656c915139d28e912c	0d11d7a94014508004dc81b11cedc5d1	0d11d7a94014508004dc81b11cedc5d1	
binary16-9	4a10535a67180199164c637a0adfbd30	00d3aa3df556e62acf17b12d329179bd	00d3aa3df556e62acf17b12d329179bd	
binary16-10	291d1f35818fb3c6d1a0119084c31b25	32b9bea8db5ae495c3387300d3c6d720	32b9bea8db5ae495c3387300d3c6d720	
binary16-11	4d1d208782244b060f24183731a17f19	dacab2f7ec8164d9bbbb7d1e54335df0	dacab2f7ec8164d9bbbb7d1e54335df0	
binary16-12	249b12e7c5dbb18fbcdd4e2db14777d0	6a06f79c3da51bf06eb68cbb632264d7	6a06f79c3da51bf06eb68cbb632264d7	
binary16-13	5e3686a748367943fdccb848a461f38e	6cd0bb0488ab308b8d5d90401c080da9	6cd0bb0488ab308b8d5d90401c080da9	
binary16-14	56f3ae5aa96d0b7ada86f65105fe8051	b8bb014ba98523f1f70a10428c44ac08	b8bb014ba98523f1f70a10428c44ac08	
binary16-15	1ce82ac044f7653f29109b71b4c31e9d	a4c15e6be5a3d3f5f94b5c3e1e601f1c	a4c15e6be5a3d3f5f94b5c3e1e601f1c	
binary16-16	97cef67941fa359f277f785b909ea90e	223970436578c2b51a4f0a1df57660ee	223970436578c2b51a4f0a1df57660ee	
binary16-17	69b41327616ad4cee7939cc55786a4a2	611291edbfd2a39e69811482be5f2efa	611291edbfd2a39e69811482be5f2efa	
binary16-18	09d02abf40e2b870e104a65f2fe34d9c	a24347067adbd3d8f7c3a6a9e5cfb750	a24347067adbd3d8f7c3a6a9e5cfb750	
binary16-19	6ce39cf01585d6c47083e17f7b5ff9dc	a9ebc14a9088034b23c453a4692f016d	a9ebc14a9088034b23c453a4692f016d	
binary16-20	6e582e280fb6590984ba5b163a93dfa9	291fb5310bfcfe2312ca5f4627a346f7	291fb5310bfcfe2312ca5f4627a346f7	
binary16-21	7b195d36985085e3d09808d06f094490	d8856f08b23d9ef8c747940a31d70a08	d8856f08b23d9ef8c747940a31d70a08	
binary16-22	49530abb726bdd524f0dac354f439aa5	921b63a62a37b11f4384186605043586	921b63a62a37b11f4384186605043586	
binary16-23	ea4ff88864cc4200603c1f00baadcdca	19b2d1cbedbc2133f24ee8bf8c640dad	19b2d1cbedbc2133f24ee8bf8c640dad	
binary16-24	91a7826bee28b8c041986fed79323161	63544dbf6524c1350b4b99d32e86f656	63544dbf6524c1350b4b99d32e86f656	
binary16-25	ddfe6073d783749f1b1b7ddd0a1bc900	089b25565f2ded9362ca74a84023c2eb	089b25565f2ded9362ca74a84023c2eb	
binary16-26	466f01ca6c4eb9c413a94fd6717324ab	0072ef3cf78da2a9e7ea8372be6832c3	0072ef3cf78da2a9e7ea8372be6832c3	
binary16-27	fd4cb242573772b3ed00e3232e24df10	324f9998675fdb6db1ee7bbe3392eda9	324f9998675fdb6db1ee7bbe3392eda9	
binary16-28	8c413b1c71ba1a8763dfd66f5d0e8358	100ead7ca3039d59deb6ec0df4218f8e	100ead7ca3039d59deb6ec0df4218f8e	
binary16-29	bc7762efdde8737a702b926c442b2510	5f1d163535804aad9c23a95aef136b1c	5f1d163535804aad9c23a95aef136b1c	
binary16-30	15bdd6ffdd38f682606dd9338fa29a4b	0cc1a555e58d4a835c7cb20c8b9abf73	0cc1a555e58d4a835c7cb20c8b9abf73	
binary16-31	f8db9164fabe2c7598c75803730f0edd	a298337a2225ff1a11d53a6e557d0758	a298337a2225ff1a11d53a6e557d0758	
binary16-32	161cc21aacbf30370f3330bcc580dfb2	b57c0154aa35acac51fef7ce9a06bb7c	b57c0154aa35acac51fef7ce9a06bb7c	
binary16-33	ec51cbc71c23fd0849b0df5444d864a1	2881b6e25e64cf6965ebe19d2ce2fa68	2881b6e25e64cf6965ebe19d2ce2fa68	
binary16-34	38ee4f1c63445d9339001438989b2781	a5cd719cc95891d1633eaf327d3e76c9	a5cd719cc95891d1633eaf327d3e76c9	
binary16-35	3e22841d2fc02ec511bf45bbc7bd7fb1	7962bae0101d20dc707e6f6c9214072e	7962bae0101d20dc707e6f6c9214072e	
binary16-36	8cad326b9a9ff30cf50588526aa0d650	9f55da701252ac3ac81cfa9ae148a7b2	9f55da701252ac3ac81cfa9ae148a7b2	
binary16-37	2526b9ba664ff131c5cbce75ae37e6de	da1c93c391802254464a5ba5ab70f357	da1c93c391802254464a5ba5ab70f357	
binary16-38	c994fafd50f91b79043f1794679e3c68	84a0eb58f2e408704e98c3febf5cfb8d	84a0eb58f2e408704e98c3febf5cfb8d	
binary16-39	c172bc2eeaa1876c1fa1fefcf50707f2	7b2a2a89e12ecd11fd45b7b92126b61d	7b2a2a89e12ecd11fd45b7b92126b61d	
binary16-40	4b13772aa03079ca169a288790f6004b	53065a805230a3a0df766125b00ec9ec	53065a805230a3a0df766125b00ec9ec	
binary16-41	5ef21067636c4147ce6904ba48a80541	807ebbd34bdfaffbdb50efb875c9f07f	807ebbd34bdfaffbdb50efb875c9f07f	
